nan,Semana,Aprobado,% Aprobado,Consecionado,% Consecionado,Rechazado,% Rechazado,Total partidas evaluadas
,Sem 15,183,0.9432989690721649,5,0.02577319587628866,6,0.030927835051546393,194
,Sem 16,164,0.8631578947368421,12,0.06315789473684211,14,0.07368421052631578,190
,Sem 17,178,0.9081632653061225,8,0.04081632653061224,10,0.05102040816326531,196
,Sem 18,97,0.8660714285714286,5,0.044642857142857144,10,0.08928571428571429,112
,Sem 19,117,0.9140625,6,0.046875,5,0.0390625,128
,Sem 20,154,0.88,4,0.022857142857142857,17,0.09714285714285714,175
,Sem 21,130,0.9285714285714286,5,0.03571428571428571,5,0.03571428571428571,140
,Sem 22,138,0.9139072847682119,3,0.019867549668874173,10,0.06622516556291391,151
,Sem 23,110,0.9565217391304348,0,0,5,0.043478260869565216,115
,Sem 24,166,0.8877005347593583,3,0.016042780748663103,18,0.0962566844919786,187
,Sem 25,127,0.900709219858156,5,0.03546099290780142,9,0.06382978723404255,141
,Sem 26,162,0.9152542372881356,5,0.02824858757062147,10,0.05649717514124294,177
,Sem 27,135,0.9060402684563759,5,0.03355704697986577,9,0.06040268456375839,149
